Месяц;День месяца;День недели;Число;Кол-во выпадений;Шанс (%);Тип
январь;24;воскресенье;45;1;0,05;Частое
январь;24;воскресенье;6;1;0,05;Частое
январь;24;воскресенье;11;1;0,05;Частое
январь;24;воскресенье;24;1;0,05;Частое
январь;24;воскресенье;53;1;0,05;Частое
январь;24;воскресенье;43;1;0,05;Частое
январь;24;воскресенье;57;1;0,05;Частое
январь;24;воскресенье;42;1;0,05;Частое
январь;24;воскресенье;23;1;0,05;Частое
январь;24;воскресенье;41;1;0,05;Частое
январь;24;воскресенье;5;1;0,05;Редкое
январь;24;воскресенье;58;1;0,05;Редкое
январь;24;воскресенье;60;1;0,05;Редкое
январь;24;воскресенье;3;1;0,05;Редкое
январь;24;воскресенье;35;1;0,05;Редкое
январь;24;воскресенье;10;1;0,05;Редкое
январь;24;воскресенье;17;1;0,05;Редкое
январь;24;воскресенье;39;1;0,05;Редкое
январь;24;воскресенье;59;1;0,05;Редкое
январь;24;воскресенье;14;1;0,05;Редкое
январь;25;понедельник;13;1;0,05;Частое
январь;25;понедельник;18;1;0,05;Частое
январь;25;понедельник;49;1;0,05;Частое
январь;25;понедельник;42;1;0,05;Частое
январь;25;понедельник;30;1;0,05;Частое
январь;25;понедельник;32;1;0,05;Частое
январь;25;понедельник;39;1;0,05;Частое
январь;25;понедельник;44;1;0,05;Частое
январь;25;понедельник;40;1;0,05;Частое
январь;25;понедельник;21;1;0,05;Частое
январь;25;понедельник;41;1;0,05;Редкое
январь;25;понедельник;38;1;0,05;Редкое
январь;25;понедельник;34;1;0,05;Редкое
январь;25;понедельник;33;1;0,05;Редкое
январь;25;понедельник;16;1;0,05;Редкое
январь;25;понедельник;31;1;0,05;Редкое
январь;25;понедельник;46;1;0,05;Редкое
январь;25;понедельник;7;1;0,05;Редкое
январь;25;понедельник;1;1;0,05;Редкое
январь;25;понедельник;6;1;0,05;Редкое
январь;26;вторник;42;1;0,05;Частое
январь;26;вторник;37;1;0,05;Частое
январь;26;вторник;19;1;0,05;Частое
январь;26;вторник;43;1;0,05;Частое
январь;26;вторник;26;1;0,05;Частое
январь;26;вторник;24;1;0,05;Частое
январь;26;вторник;57;1;0,05;Частое
январь;26;вторник;31;1;0,05;Частое
январь;26;вторник;45;1;0,05;Частое
январь;26;вторник;55;1;0,05;Частое
январь;26;вторник;12;1;0,05;Редкое
январь;26;вторник;46;1;0,05;Редкое
январь;26;вторник;5;1;0,05;Редкое
январь;26;вторник;15;1;0,05;Редкое
январь;26;вторник;8;1;0,05;Редкое
январь;26;вторник;35;1;0,05;Редкое
январь;26;вторник;4;1;0,05;Редкое
январь;26;вторник;29;1;0,05;Редкое
январь;26;вторник;16;1;0,05;Редкое
январь;26;вторник;17;1;0,05;Редкое
январь;27;среда;60;1;0,05;Частое
январь;27;среда;51;1;0,05;Частое
январь;27;среда;41;1;0,05;Частое
январь;27;среда;47;1;0,05;Частое
январь;27;среда;26;1;0,05;Частое
январь;27;среда;54;1;0,05;Частое
январь;27;среда;21;1;0,05;Частое
январь;27;среда;28;1;0,05;Частое
январь;27;среда;5;1;0,05;Частое
январь;27;среда;17;1;0,05;Частое
январь;27;среда;22;1;0,05;Редкое
январь;27;среда;8;1;0,05;Редкое
январь;27;среда;59;1;0,05;Редкое
январь;27;среда;38;1;0,05;Редкое
январь;27;среда;34;1;0,05;Редкое
январь;27;среда;15;1;0,05;Редкое
январь;27;среда;24;1;0,05;Редкое
