Тираж;Дата;Время;№ 1;№ 2;№ 3;№ 4;№ 5;№ 6;№ 7;№ 8;Бонус
1076636;21.11.2025;09:25;2;4;5;8;9;11;13;16;4
1076635;21.11.2025;09:20;2;4;8;9;16;17;19;20;4
1076634;21.11.2025;09:15;1;5;6;7;9;14;19;20;3
1076633;21.11.2025;09:10;2;3;6;7;8;13;16;20;3
1076632;21.11.2025;09:05;3;7;8;11;12;14;16;20;2
1076631;21.11.2025;09:00;2;3;7;8;9;12;15;19;3
1076630;21.11.2025;08:55;1;3;5;6;7;14;16;17;1
1076629;21.11.2025;08:50;2;4;8;10;13;17;18;19;3
1076628;21.11.2025;08:45;3;7;9;11;12;13;19;20;2
1076627;21.11.2025;08:40;3;4;12;13;14;17;19;20;1
1076626;21.11.2025;08:35;3;4;6;7;10;11;12;15;4
1076625;21.11.2025;08:30;2;6;10;11;13;14;18;20;1
1076624;21.11.2025;08:25;1;2;3;8;15;16;17;19;4
1076623;21.11.2025;08:20;1;3;4;5;6;7;9;10;1
1076622;21.11.2025;08:15;1;2;7;9;11;12;17;20;4
1076621;21.11.2025;08:10;4;8;11;15;16;17;19;20;3
1076620;21.11.2025;08:05;5;7;11;14;15;16;19;20;1
1076619;21.11.2025;08:00;2;3;6;9;12;13;15;19;3
1076618;21.11.2025;07:55;1;7;10;12;14;17;18;19;2
1076617;21.11.2025;07:50;1;4;6;7;8;17;19;20;4
1076616;21.11.2025;07:45;4;5;8;11;12;14;15;19;2
1076615;21.11.2025;07:40;2;6;7;8;10;14;16;18;1
1076614;21.11.2025;07:35;1;2;3;9;10;14;15;19;2
1076613;21.11.2025;07:30;1;4;5;6;12;14;19;20;4
1076612;21.11.2025;07:25;1;3;4;7;8;11;13;18;1
1076611;21.11.2025;07:20;2;3;4;9;12;13;19;20;4
1076610;21.11.2025;07:15;1;2;11;15;16;18;19;20;4
1076609;21.11.2025;07:10;4;5;7;9;10;16;19;20;3
1076608;21.11.2025;07:05;1;5;11;13;15;17;19;20;3
1076607;21.11.2025;07:00;2;3;5;11;13;14;17;19;1
1076606;21.11.2025;06:55;7;8;14;16;17;18;19;20;3
1076605;21.11.2025;06:50;3;4;8;10;11;12;16;19;3
1076604;21.11.2025;06:45;1;3;6;7;11;16;18;19;1
1076603;21.11.2025;06:40;3;5;6;9;12;13;14;18;2
1076602;21.11.2025;06:35;4;5;6;10;11;12;15;19;4
1076601;21.11.2025;06:30;1;2;5;6;12;14;15;16;1
1076600;21.11.2025;06:25;1;4;11;12;16;18;19;20;2
1076599;21.11.2025;06:20;1;3;6;11;13;16;18;20;2
1076598;21.11.2025;06:15;1;5;8;10;11;14;15;17;1
1076597;21.11.2025;06:10;3;5;7;8;9;11;14;20;1
1076596;21.11.2025;06:05;5;8;10;12;14;15;16;19;2
1076595;21.11.2025;06:00;2;3;4;6;7;12;14;15;4
1076594;21.11.2025;05:55;4;7;9;10;11;13;14;17;4
1076593;21.11.2025;05:50;2;4;6;7;11;13;14;16;4
1076592;21.11.2025;05:45;4;5;7;8;10;13;18;20;1
1076591;21.11.2025;05:40;3;6;7;9;10;12;15;19;1
1076590;21.11.2025;05:35;1;2;4;6;10;11;14;20;1
1076589;21.11.2025;05:30;1;6;7;9;13;15;18;19;2
1076588;21.11.2025;05:25;1;2;5;8;11;12;15;20;3
1076587;21.11.2025;05:20;3;5;7;8;9;11;14;18;2
1076586;21.11.2025;05:15;1;2;4;7;12;14;16;17;2
1076585;21.11.2025;05:10;5;6;7;9;10;12;15;20;3
1076584;21.11.2025;05:05;3;5;6;7;9;12;14;20;2
1076583;21.11.2025;05:00;3;4;6;11;12;17;18;20;3
1076582;21.11.2025;04:55;3;5;6;11;12;18;19;20;4
1076581;21.11.2025;04:50;1;4;5;6;9;14;16;17;1
1076580;21.11.2025;04:45;2;4;5;6;9;13;15;20;1
1076579;21.11.2025;04:40;6;7;9;10;12;13;14;15;2
1076578;21.11.2025;04:35;2;5;7;9;10;11;14;17;4
1076577;21.11.2025;04:30;2;3;9;11;12;13;14;20;4
1076576;21.11.2025;04:25;1;2;3;7;11;13;15;17;3
1076575;21.11.2025;04:20;3;6;8;10;13;14;18;20;2
1076574;21.11.2025;04:15;7;8;12;13;15;18;19;20;4
1076573;21.11.2025;04:10;3;4;6;9;11;12;16;19;4
1076572;21.11.2025;04:05;2;4;5;9;12;14;16;19;2
1076571;21.11.2025;04:00;1;5;7;12;15;18;19;20;2
1076570;21.11.2025;03:55;1;4;6;8;14;17;18;19;2
1076569;21.11.2025;03:50;2;3;5;8;10;12;19;20;1
1076568;21.11.2025;03:45;2;7;12;13;14;15;17;19;4
1076567;21.11.2025;03:40;5;7;9;13;14;16;19;20;2
1076566;21.11.2025;03:35;4;8;10;11;13;14;15;16;2
1076565;21.11.2025;03:30;3;6;8;10;11;13;15;17;3
1076564;21.11.2025;03:25;6;8;9;10;16;18;19;20;3
1076563;21.11.2025;03:20;5;6;7;8;13;15;16;17;4
1076562;21.11.2025;03:15;1;6;7;9;12;18;19;20;1
1076561;21.11.2025;03:10;1;7;8;10;11;14;15;20;4
1076560;21.11.2025;03:05;1;2;4;6;7;10;11;19;2
1076559;21.11.2025;03:00;2;3;4;12;15;17;18;20;4
1076558;21.11.2025;02:55;1;3;5;8;11;14;15;19;3
1076557;21.11.2025;02:50;1;4;5;9;14;18;19;20;3
1076556;21.11.2025;02:45;1;2;3;4;7;11;12;19;2
1076555;21.11.2025;02:40;2;3;5;7;9;13;16;17;3
1076554;21.11.2025;02:35;6;8;9;10;12;14;17;18;4
1076553;21.11.2025;02:30;4;5;7;10;12;13;15;16;2
1076552;21.11.2025;02:25;2;3;8;9;12;13;16;17;4
1076551;21.11.2025;02:20;1;3;4;10;13;14;16;20;4
1076550;21.11.2025;02:15;1;2;6;8;11;12;13;18;2
1076549;21.11.2025;02:10;5;6;7;8;9;10;17;20;2
1076548;21.11.2025;02:05;1;3;6;8;14;15;18;20;3
1076547;21.11.2025;02:00;2;8;9;11;12;17;18;19;4
1076546;21.11.2025;01:55;4;6;8;11;12;13;14;18;4
1076545;21.11.2025;01:50;3;8;9;10;11;13;15;19;1
1076544;21.11.2025;01:45;4;6;7;12;15;17;19;20;4
1076543;21.11.2025;01:40;6;8;9;12;13;17;18;20;3
1076542;21.11.2025;01:35;1;2;4;10;15;17;19;20;1
1076541;21.11.2025;01:30;4;8;9;11;12;17;19;20;3
1076540;21.11.2025;01:25;1;3;4;7;10;11;17;20;3
1076539;21.11.2025;01:20;1;3;8;10;11;13;17;19;4
1076538;21.11.2025;01:15;1;3;7;9;11;14;16;20;1
1076537;21.11.2025;01:10;2;3;4;5;6;8;15;16;4
