Тираж;Дата;№ 1;№ 2;№ 3;№ 4;№ 5;№ 6;№ 7;№ 8;№ 9;№ 10;№ 11;№ 12;№ 13;№ 14;№ 15;№ 16;№ 17;№ 18;№ 19;№ 20
1;24.01.2010;3;5;6;10;11;14;17;23;24;35;39;41;42;43;45;53;57;58;59;60
2;25.01.2010;1;6;7;13;16;18;21;30;31;32;33;34;38;39;40;41;42;44;46;49
3;26.01.2010;4;5;8;12;15;16;17;19;24;26;29;31;35;37;42;43;45;46;55;57
4;27.01.2010;5;8;15;16;17;21;22;23;24;26;28;34;38;41;43;47;51;54;59;60
5;28.01.2010;3;4;6;10;19;20;24;26;27;34;35;38;39;44;45;48;53;55;56;57
6;29.01.2010;1;4;7;12;19;20;29;31;35;37;39;40;43;46;48;49;50;52;58;59
7;30.01.2010;1;8;9;13;15;16;18;21;23;24;28;29;33;34;45;46;52;54;56;58
8;31.01.2010;2;7;8;10;17;19;21;23;25;26;30;32;36;37;42;44;45;48;53;55
9;01.02.2010;6;15;16;20;24;30;31;35;36;38;39;40;47;48;53;54;55;56;57;60
10;02.02.2010;3;12;14;15;19;20;22;28;29;30;35;39;41;49;50;52;53;54;55;60
