Тираж;Дата;Время;∑ чисел выпавших;∑ чисел не выпавших;μ число;⌓ Медиана;Повторения чисел;σ² Дисперсия;σ СКО;↑ Макс;↓ Мин;Четных;Нечетных;Кол-во простых;Кол-во составных;Кол-во низких;Кол-во высоких;Кол-во треугольных;Кол-во квадратных;Кол-во зеркальных
1;29.10.2025;12:01;67;143;11,1667;10,5;нет;27,8056;5,2731;19;3;3;3;2;4;3;3;1;2;3
2;29.10.2025;15:01;52;158;8,6667;7,5;да;38,8889;6,2361;18;1;2;4;2;3;4;2;4;1;3
3;29.10.2025;18:01;60;160;10;10;да;19,6667;4,4347;18;3;4;2;2;4;4;2;3;0;3
4;29.10.2025;21:01;64;152;10,6667;8,5;да;30,8889;5,5578;19;5;2;4;4;2;3;3;2;0;4
5;30.10.2025;12:01;65;145;10,8333;10,5;да;32,4722;5,6984;18;1;3;3;2;3;3;3;2;1;3
6;30.10.2025;15:01;60;150;10;9;да;16;4;17;5;2;4;4;2;4;2;1;0;3
7;30.10.2025;18:01;53;157;8,8333;8;да;31,1389;5,5802;19;2;3;3;3;3;4;2;0;2;4
8;30.10.2025;21:01;65;145;10,8333;11;да;34,8056;5,8996;18;1;1;5;3;2;3;3;1;2;3
9;31.10.2025;12:01;63;147;10,5;11;да;36,9167;6,0759;20;1;3;3;1;4;3;3;2;2;3
10;31.10.2025;15:01;59;151;9,8333;10;да;24,4722;4,9469;17;2;3;3;3;3;3;3;1;1;4
