Тираж;Дата;Время;∑ чисел;∑ не выпавших;μ;⌓ Медиана;Повторения;σ²;σ;↑Max;↓Min;Чет;Нечет;Простые;Составные;Низкие;Высокие;Треугольные;Квадратные;Зеркальные
1;29.10.2025;12:01;33;177;11;9;нет;12,6667;3,559;16;8;2;1;0;3;2;1;0;2;2
2;29.10.2025;15:01;36;174;12;15;нет;42;6,4807;18;3;1;2;1;2;1;2;2;0;1
3;29.10.2025;18:01;36;174;12;10;да;18,6667;4,3205;18;8;3;0;0;3;2;1;1;0;1
4;29.10.2025;21:01;36;174;12;11;нет;28,6667;5,3541;19;6;1;2;2;1;1;2;1;0;2
5;30.10.2025;12:01;29;181;9,6667;10;да;1,5556;1,2472;11;8;2;1;1;2;2;1;1;0;2
6;30.10.2025;15:01;20;190;6,6667;7;да;1,5556;1,2472;8;5;1;2;2;1;3;0;0;0;3
7;30.10.2025;18:01;23;187;7,6667;9;нет;17,5556;4,1899;12;2;2;1;1;2;2;1;0;1;2
8;30.10.2025;21:01;21;189;7;7;нет;24;4,899;13;1;0;3;2;0;2;1;1;1;2
9;31.10.2025;12:01;23;187;7,6667;9;да;24,8889;4,9889;13;1;0;3;1;1;2;1;1;2;2
10;31.10.2025;15:01;37;173;12,3333;11;да;11,5556;3,3994;17;9;0;3;2;1;1;2;0;1;2
