День недели;№ Шара;Кол-во выпадений;Шанс (%);Тип
среда;8;31;0,0718;Частое
среда;12;28;0,0648;Частое
среда;13;27;0,0625;Частое
среда;9;26;0,0602;Частое
среда;1;23;0,0532;Частое
среда;17;23;0,0532;Частое
среда;16;22;0,0509;Частое
среда;19;22;0,0509;Частое
среда;2;21;0,0486;Частое
среда;5;21;0,0486;Частое
среда;7;14;0,0324;Редкое
среда;15;16;0,037;Редкое
среда;14;17;0,0394;Редкое
среда;11;18;0,0417;Редкое
среда;3;20;0,0463;Редкое
среда;4;20;0,0463;Редкое
среда;18;20;0,0463;Редкое
среда;2;21;0,0486;Редкое
среда;5;21;0,0486;Редкое
среда;6;21;0,0486;Редкое
четверг;17;31;0,0718;Частое
четверг;8;26;0,0602;Частое
четверг;5;25;0,0579;Частое
четверг;12;24;0,0556;Частое
четверг;14;24;0,0556;Частое
четверг;19;24;0,0556;Частое
четверг;2;23;0,0532;Частое
четверг;4;23;0,0532;Частое
четверг;18;23;0,0532;Частое
четверг;9;22;0,0509;Частое
четверг;13;14;0,0324;Редкое
четверг;1;15;0,0347;Редкое
четверг;6;16;0,037;Редкое
четверг;20;17;0,0394;Редкое
четверг;7;19;0,044;Редкое
четверг;3;20;0,0463;Редкое
четверг;11;21;0,0486;Редкое
четверг;16;21;0,0486;Редкое
четверг;9;22;0,0509;Редкое
четверг;10;22;0,0509;Редкое
пятница;1;27;0,0625;Частое
пятница;9;27;0,0625;Частое
пятница;11;27;0,0625;Частое
пятница;3;26;0,0602;Частое
пятница;13;26;0,0602;Частое
пятница;19;26;0,0602;Частое
пятница;8;24;0,0556;Частое
пятница;7;23;0,0532;Частое
пятница;12;23;0,0532;Частое
пятница;4;21;0,0486;Частое
пятница;2;16;0,037;Редкое
пятница;16;16;0,037;Редкое
пятница;17;16;0,037;Редкое
пятница;10;17;0,0394;Редкое
пятница;15;17;0,0394;Редкое
пятница;5;19;0,044;Редкое
пятница;18;19;0,044;Редкое
пятница;14;20;0,0463;Редкое
пятница;4;21;0,0486;Редкое
пятница;6;21;0,0486;Редкое
суббота;8;29;0,0671;Частое
суббота;2;27;0,0625;Частое
суббота;5;26;0,0602;Частое
суббота;17;25;0,0579;Частое
суббота;18;25;0,0579;Частое
суббота;14;23;0,0532;Частое
суббота;15;23;0,0532;Частое
суббота;20;23;0,0532;Частое
суббота;13;22;0,0509;Частое
суббота;4;21;0,0486;Частое
суббота;12;9;0,0208;Редкое
суббота;6;16;0,037;Редкое
суббота;1;20;0,0463;Редкое
суббота;3;20;0,0463;Редкое
суббота;9;20;0,0463;Редкое
суббота;16;20;0,0463;Редкое
суббота;19;20;0,0463;Редкое
суббота;4;21;0,0486;Редкое
суббота;7;21;0,0486;Редкое
суббота;10;21;0,0486;Редкое
воскресенье;17;32;0,0741;Частое
воскресенье;3;28;0,0648;Частое
воскресенье;19;28;0,0648;Частое
воскресенье;20;27;0,0625;Частое
воскресенье;13;26;0,0602;Частое
воскресенье;15;26;0,0602;Частое
воскресенье;8;24;0,0556;Частое
воскресенье;4;22;0,0509;Частое
воскресенье;6;22;0,0509;Частое
воскресенье;12;22;0,0509;Частое
воскресенье;16;14;0,0324;Редкое
воскресенье;9;16;0,037;Редкое
воскресенье;18;16;0,037;Редкое
воскресенье;7;17;0,0394;Редкое
воскресенье;10;17;0,0394;Редкое
воскресенье;11;17;0,0394;Редкое
воскресенье;14;18;0,0417;Редкое
воскресенье;2;19;0,044;Редкое
воскресенье;1;20;0,0463;Редкое
воскресенье;5;21;0,0486;Редкое
понедельник;10;29;0,069;Частое
понедельник;14;27;0,0643;Частое
понедельник;15;27;0,0643;Частое
понедельник;5;25;0,0595;Частое
понедельник;4;23;0,0548;Частое
понедельник;13;23;0,0548;Частое
понедельник;3;22;0,0524;Частое
понедельник;12;22;0,0524;Частое
понедельник;16;22;0,0524;Частое
понедельник;18;22;0,0524;Частое
понедельник;6;13;0,031;Редкое
понедельник;20;13;0,031;Редкое
понедельник;11;16;0,0381;Редкое
понедельник;2;18;0,0429;Редкое
понедельник;8;18;0,0429;Редкое
понедельник;9;18;0,0429;Редкое
понедельник;17;18;0,0429;Редкое
понедельник;1;21;0,05;Редкое
понедельник;7;21;0,05;Редкое
понедельник;3;22;0,0524;Редкое
вторник;2;29;0,069;Частое
вторник;3;28;0,0667;Частое
вторник;1;27;0,0643;Частое
вторник;18;27;0,0643;Частое
вторник;11;26;0,0619;Частое
вторник;17;25;0,0595;Частое
вторник;4;23;0,0548;Частое
вторник;20;23;0,0548;Частое
вторник;8;22;0,0524;Частое
вторник;7;21;0,05;Частое
вторник;10;13;0,031;Редкое
вторник;16;13;0,031;Редкое
вторник;15;14;0,0333;Редкое
вторник;9;16;0,0381;Редкое
вторник;12;17;0,0405;Редкое
вторник;6;18;0,0429;Редкое
вторник;14;18;0,0429;Редкое
вторник;5;20;0,0476;Редкое
вторник;13;20;0,0476;Редкое
вторник;19;20;0,0476;Редкое
