Месяц;№ Шара;Кол-во выпадений;Шанс (%);Тип
январь;8;25;0,0672;Частое
январь;17;25;0,0672;Частое
январь;18;23;0,0618;Частое
январь;4;22;0,0591;Частое
январь;2;22;0,0591;Частое
январь;12;21;0,0565;Частое
январь;9;21;0,0565;Частое
январь;16;20;0,0538;Частое
январь;1;19;0,0511;Частое
январь;11;18;0,0484;Частое
январь;6;13;0,0349;Редкое
январь;7;13;0,0349;Редкое
январь;5;14;0,0376;Редкое
январь;19;15;0,0403;Редкое
январь;13;15;0,0403;Редкое
январь;10;16;0,043;Редкое
январь;15;17;0,0457;Редкое
январь;3;17;0,0457;Редкое
январь;11;18;0,0484;Редкое
январь;14;18;0,0484;Редкое
февраль;7;24;0,0714;Частое
февраль;12;22;0,0655;Частое
февраль;18;21;0,0625;Частое
февраль;4;21;0,0625;Частое
февраль;20;21;0,0625;Частое
февраль;9;21;0,0625;Частое
февраль;16;18;0,0536;Частое
февраль;11;18;0,0536;Частое
февраль;17;17;0,0506;Частое
февраль;14;16;0,0476;Частое
февраль;8;10;0,0298;Редкое
февраль;19;10;0,0298;Редкое
февраль;5;13;0,0387;Редкое
февраль;13;14;0,0417;Редкое
февраль;2;14;0,0417;Редкое
февраль;1;14;0,0417;Редкое
февраль;6;15;0,0446;Редкое
февраль;10;15;0,0446;Редкое
февраль;14;16;0,0476;Редкое
февраль;15;16;0,0476;Редкое
март;16;27;0,0726;Частое
март;8;25;0,0672;Частое
март;2;24;0,0645;Частое
март;14;22;0,0591;Частое
март;7;22;0,0591;Частое
март;1;21;0,0565;Частое
март;13;20;0,0538;Частое
март;3;20;0,0538;Частое
март;20;20;0,0538;Частое
март;11;19;0,0511;Частое
март;9;12;0,0323;Редкое
март;19;14;0,0376;Редкое
март;10;14;0,0376;Редкое
март;6;14;0,0376;Редкое
март;5;14;0,0376;Редкое
март;4;15;0,0403;Редкое
март;15;16;0,043;Редкое
март;17;17;0,0457;Редкое
март;12;18;0,0484;Редкое
март;18;18;0,0484;Редкое
апрель;5;26;0,0722;Частое
апрель;4;23;0,0639;Частое
