Месяц;№ Шара;Кол-во выпадений;Шанс (%);Тип
январь;45;5;0,625;Частое
январь;24;5;0,625;Частое
январь;43;4;0,5;Частое
январь;42;4;0,5;Частое
январь;23;4;0,5;Частое
январь;35;4;0,5;Частое
январь;17;4;0,5;Частое
январь;39;4;0,5;Частое
январь;21;4;0,5;Частое
январь;34;4;0,5;Частое
январь;11;1;0,125;Редкое
январь;14;1;0,125;Редкое
январь;51;1;0,125;Редкое
январь;47;1;0,125;Редкое
январь;22;1;0,125;Редкое
январь;27;1;0,125;Редкое
январь;50;1;0,125;Редкое
январь;9;1;0,125;Редкое
январь;36;1;0,125;Редкое
январь;2;1;0,125;Редкое
февраль;53;2;1;Частое
февраль;54;2;1;Частое
февраль;39;2;1;Частое
февраль;30;2;1;Частое
февраль;60;2;1;Частое
февраль;35;2;1;Частое
февраль;15;2;1;Частое
февраль;55;2;1;Частое
февраль;20;2;1;Частое
февраль;38;1;0,5;Частое
февраль;38;1;0,5;Редкое
февраль;47;1;0,5;Редкое
февраль;6;1;0,5;Редкое
февраль;36;1;0,5;Редкое
февраль;24;1;0,5;Редкое
февраль;31;1;0,5;Редкое
февраль;40;1;0,5;Редкое
февраль;48;1;0,5;Редкое
февраль;56;1;0,5;Редкое
февраль;16;1;0,5;Редкое
