День месяца;№ Шара;Кол-во выпадений;Шанс (%);Тип
1;11;17;0,2931;Частое
1;8;16;0,2759;Частое
1;12;11;0,1897;Частое
1;1;11;0,1897;Частое
1;13;11;0,1897;Частое
1;16;11;0,1897;Частое
1;15;10;0,1724;Частое
1;4;10;0,1724;Частое
1;17;9;0,1552;Частое
1;18;8;0,1379;Частое
1;3;8;0,1379;Редкое
1;5;7;0,1207;Редкое
1;10;7;0,1207;Редкое
1;19;7;0,1207;Редкое
1;7;6;0,1034;Редкое
1;6;6;0,1034;Редкое
1;20;6;0,1034;Редкое
1;14;6;0,1034;Редкое
1;9;4;0,069;Редкое
1;2;3;0,0517;Редкое
2;1;14;0,2414;Частое
2;8;13;0,2241;Частое
2;5;13;0,2241;Частое
2;17;11;0,1897;Частое
2;16;10;0,1724;Частое
2;15;10;0,1724;Частое
2;4;10;0,1724;Частое
2;3;9;0,1552;Частое
2;19;9;0,1552;Частое
2;6;8;0,1379;Частое
2;7;8;0,1379;Редкое
2;14;8;0,1379;Редкое
2;12;8;0,1379;Редкое
2;10;8;0,1379;Редкое
2;11;7;0,1207;Редкое
2;18;7;0,1207;Редкое
2;2;6;0,1034;Редкое
2;9;6;0,1034;Редкое
2;20;5;0,0862;Редкое
2;13;4;0,069;Редкое
3;8;15;0,2586;Частое
3;2;14;0,2414;Частое
3;18;14;0,2414;Частое
3;16;13;0,2241;Частое
3;17;12;0,2069;Частое
3;4;11;0,1897;Частое
3;15;11;0,1897;Частое
3;1;10;0,1724;Частое
3;6;10;0,1724;Частое
3;7;9;0,1552;Частое
3;20;8;0,1379;Редкое
3;11;7;0,1207;Редкое
3;9;7;0,1207;Редкое
3;13;7;0,1207;Редкое
3;19;6;0,1034;Редкое
3;14;5;0,0862;Редкое
3;10;5;0,0862;Редкое
3;12;5;0,0862;Редкое
3;3;3;0,0517;Редкое
3;5;2;0,0345;Редкое
4;17;13;0,2241;Частое
4;2;12;0,2069;Частое
4;6;12;0,2069;Частое
4;5;12;0,2069;Частое
4;11;12;0,2069;Частое
4;4;12;0,2069;Частое
4;12;12;0,2069;Частое
4;18;10;0,1724;Частое
4;14;9;0,1552;Частое
4;1;8;0,1379;Частое
4;10;8;0,1379;Редкое
4;8;7;0,1207;Редкое
4;3;7;0,1207;Редкое
4;7;7;0,1207;Редкое
4;15;7;0,1207;Редкое
4;19;6;0,1034;Редкое
4;9;6;0,1034;Редкое
4;16;5;0,0862;Редкое
4;13;5;0,0862;Редкое
4;20;4;0,069;Редкое
5;16;17;0,2931;Частое
5;8;13;0,2241;Частое
5;4;11;0,1897;Частое
5;10;10;0,1724;Частое
5;18;10;0,1724;Частое
5;13;10;0,1724;Частое
5;2;9;0,1552;Частое
5;15;9;0,1552;Частое
5;5;9;0,1552;Частое
5;12;9;0,1552;Частое
5;14;9;0,1552;Редкое
5;19;8;0,1379;Редкое
5;3;7;0,1207;Редкое
5;11;7;0,1207;Редкое
5;1;7;0,1207;Редкое
5;20;7;0,1207;Редкое
5;17;6;0,1034;Редкое
5;6;6;0,1034;Редкое
5;7;6;0,1034;Редкое
5;9;4;0,069;Редкое
6;7;16;0,2857;Частое
6;1;11;0,1964;Частое
6;14;10;0,1786;Частое
6;9;10;0,1786;Частое
6;18;9;0,1607;Частое
6;3;9;0,1607;Частое
6;6;9;0,1607;Частое
6;2;9;0,1607;Частое
6;5;9;0,1607;Частое
6;8;9;0,1607;Частое
6;16;8;0,1429;Редкое
6;10;8;0,1429;Редкое
6;13;8;0,1429;Редкое
6;17;8;0,1429;Редкое
6;19;7;0,125;Редкое
6;4;7;0,125;Редкое
6;15;6;0,1071;Редкое
6;20;6;0,1071;Редкое
6;12;5;0,0893;Редкое
6;11;4;0,0714;Редкое
7;18;15;0,3125;Частое
7;7;11;0,2292;Частое
7;11;11;0,2292;Частое
7;8;10;0,2083;Частое
7;15;10;0,2083;Частое
7;17;9;0,1875;Частое
7;5;8;0,1667;Частое
7;4;7;0,1458;Частое
7;12;7;0,1458;Частое
7;16;6;0,125;Частое
7;19;6;0,125;Редкое
7;10;6;0,125;Редкое
7;6;6;0,125;Редкое
7;3;6;0,125;Редкое
7;9;5;0,1042;Редкое
7;13;5;0,1042;Редкое
7;14;5;0,1042;Редкое
7;20;4;0,0833;Редкое
7;2;4;0,0833;Редкое
7;1;3;0,0625;Редкое
8;5;13;0,2708;Частое
8;1;11;0,2292;Частое
8;18;10;0,2083;Частое
8;12;10;0,2083;Частое
8;16;10;0,2083;Частое
8;20;9;0,1875;Частое
8;10;7;0,1458;Частое
8;13;7;0,1458;Частое
8;2;7;0,1458;Частое
8;7;7;0,1458;Частое
8;14;7;0,1458;Редкое
8;11;7;0,1458;Редкое
8;17;6;0,125;Редкое
8;8;6;0,125;Редкое
8;3;6;0,125;Редкое
8;9;6;0,125;Редкое
8;15;4;0,0833;Редкое
8;4;4;0,0833;Редкое
8;19;4;0,0833;Редкое
8;6;3;0,0625;Редкое
9;14;12;0,25;Частое
9;2;11;0,2292;Частое
9;13;10;0,2083;Частое
9;15;9;0,1875;Частое
9;11;9;0,1875;Частое
9;20;8;0,1667;Частое
9;6;8;0,1667;Частое
9;9;7;0,1458;Частое
9;3;7;0,1458;Частое
9;8;7;0,1458;Частое
9;18;7;0,1458;Редкое
9;10;6;0,125;Редкое
9;1;6;0,125;Редкое
9;4;6;0,125;Редкое
9;5;6;0,125;Редкое
9;7;6;0,125;Редкое
9;12;5;0,1042;Редкое
9;17;5;0,1042;Редкое
9;19;5;0,1042;Редкое
9;16;4;0,0833;Редкое
10;8;13;0,2708;Частое
10;19;12;0,25;Частое
10;7;11;0,2292;Частое
10;14;9;0,1875;Частое
10;15;9;0,1875;Частое
10;1;8;0,1667;Частое
10;4;8;0,1667;Частое
10;20;8;0,1667;Частое
10;16;8;0,1667;Частое
10;6;7;0,1458;Частое
10;3;7;0,1458;Редкое
10;12;6;0,125;Редкое
10;2;5;0,1042;Редкое
10;5;5;0,1042;Редкое
10;10;5;0,1042;Редкое
10;17;5;0,1042;Редкое
10;11;5;0,1042;Редкое
10;13;5;0,1042;Редкое
10;18;5;0,1042;Редкое
10;9;3;0,0625;Редкое
11;20;12;0,25;Частое
11;17;12;0,25;Частое
11;11;11;0,2292;Частое
11;15;10;0,2083;Частое
11;18;10;0,2083;Частое
11;2;8;0,1667;Частое
11;12;8;0,1667;Частое
11;14;7;0,1458;Частое
11;8;7;0,1458;Частое
11;4;7;0,1458;Частое
11;13;7;0,1458;Редкое
11;16;7;0,1458;Редкое
11;10;7;0,1458;Редкое
11;19;6;0,125;Редкое
11;9;6;0,125;Редкое
11;6;5;0,1042;Редкое
11;1;4;0,0833;Редкое
11;3;4;0,0833;Редкое
11;5;3;0,0625;Редкое
11;7;3;0,0625;Редкое
12;1;13;0,2708;Частое
12;2;13;0,2708;Частое
12;4;12;0,25;Частое
12;9;12;0,25;Частое
12;3;9;0,1875;Частое
12;8;9;0,1875;Частое
12;5;7;0,1458;Частое
12;20;7;0,1458;Частое
12;12;7;0,1458;Частое
12;7;7;0,1458;Частое
12;6;6;0,125;Редкое
12;11;6;0,125;Редкое
12;17;6;0,125;Редкое
12;10;6;0,125;Редкое
12;18;6;0,125;Редкое
12;15;5;0,1042;Редкое
12;16;4;0,0833;Редкое
12;14;4;0,0833;Редкое
12;13;3;0,0625;Редкое
12;19;2;0,0417;Редкое
13;18;11;0,2292;Частое
13;11;10;0,2083;Частое
13;13;9;0,1875;Частое
13;19;9;0,1875;Частое
13;16;9;0,1875;Частое
13;6;8;0,1667;Частое
13;7;8;0,1667;Частое
13;8;7;0,1458;Частое
13;20;7;0,1458;Частое
13;4;7;0,1458;Частое
13;12;7;0,1458;Редкое
13;10;7;0,1458;Редкое
13;14;7;0,1458;Редкое
13;9;7;0,1458;Редкое
13;3;6;0,125;Редкое
13;15;6;0,125;Редкое
13;17;6;0,125;Редкое
13;1;5;0,1042;Редкое
13;2;5;0,1042;Редкое
13;5;3;0,0625;Редкое
14;3;14;0,2917;Частое
14;11;12;0,25;Частое
14;14;10;0,2083;Частое
14;8;10;0,2083;Частое
14;17;9;0,1875;Частое
14;10;9;0,1875;Частое
14;9;8;0,1667;Частое
14;7;8;0,1667;Частое
14;18;8;0,1667;Частое
14;20;7;0,1458;Частое
14;12;7;0,1458;Редкое
14;2;6;0,125;Редкое
14;15;6;0,125;Редкое
14;16;5;0,1042;Редкое
14;19;5;0,1042;Редкое
14;4;5;0,1042;Редкое
14;6;5;0,1042;Редкое
14;1;4;0,0833;Редкое
14;13;4;0,0833;Редкое
14;5;2;0,0417;Редкое
15;20;15;0,3125;Частое
15;6;11;0,2292;Частое
15;2;10;0,2083;Частое
15;5;10;0,2083;Частое
15;7;10;0,2083;Частое
15;19;9;0,1875;Частое
15;16;8;0,1667;Частое
15;17;8;0,1667;Частое
15;9;7;0,1458;Частое
15;1;7;0,1458;Частое
15;11;6;0,125;Редкое
15;4;6;0,125;Редкое
15;10;6;0,125;Редкое
15;12;6;0,125;Редкое
15;14;5;0,1042;Редкое
15;18;5;0,1042;Редкое
15;3;5;0,1042;Редкое
15;13;5;0,1042;Редкое
15;15;4;0,0833;Редкое
15;8;1;0,0208;Редкое
16;3;13;0,2708;Частое
16;5;11;0,2292;Частое
16;7;10;0,2083;Частое
16;6;10;0,2083;Частое
16;20;9;0,1875;Частое
16;17;9;0,1875;Частое
16;16;9;0,1875;Частое
16;13;9;0,1875;Частое
16;14;9;0,1875;Частое
16;12;8;0,1667;Частое
16;9;8;0,1667;Редкое
16;4;8;0,1667;Редкое
16;19;6;0,125;Редкое
16;11;5;0,1042;Редкое
16;2;4;0,0833;Редкое
16;15;4;0,0833;Редкое
16;8;4;0,0833;Редкое
16;10;4;0,0833;Редкое
16;18;3;0,0625;Редкое
16;1;1;0,0208;Редкое
17;14;11;0,2292;Частое
17;16;10;0,2083;Частое
17;10;10;0,2083;Частое
17;8;10;0,2083;Частое
17;12;9;0,1875;Частое
17;2;9;0,1875;Частое
17;1;9;0,1875;Частое
17;7;8;0,1667;Частое
17;11;7;0,1458;Частое
17;19;7;0,1458;Частое
17;18;7;0,1458;Редкое
17;6;6;0,125;Редкое
17;17;6;0,125;Редкое
17;5;6;0,125;Редкое
17;15;6;0,125;Редкое
17;9;5;0,1042;Редкое
17;20;5;0,1042;Редкое
17;13;5;0,1042;Редкое
17;4;4;0,0833;Редкое
17;3;4;0,0833;Редкое
18;2;11;0,2292;Частое
18;18;10;0,2083;Частое
18;3;9;0,1875;Частое
18;5;9;0,1875;Частое
18;17;9;0,1875;Частое
18;9;9;0,1875;Частое
18;20;9;0,1875;Частое
18;1;8;0,1667;Частое
18;8;8;0,1667;Частое
18;13;8;0,1667;Частое
18;10;7;0,1458;Редкое
18;12;7;0,1458;Редкое
18;6;7;0,1458;Редкое
18;4;6;0,125;Редкое
18;15;6;0,125;Редкое
18;19;5;0,1042;Редкое
18;7;5;0,1042;Редкое
18;16;4;0,0833;Редкое
18;11;4;0,0833;Редкое
18;14;3;0,0625;Редкое
19;15;13;0,2708;Частое
19;7;12;0,25;Частое
19;3;10;0,2083;Частое
19;18;9;0,1875;Частое
19;4;8;0,1667;Частое
19;12;8;0,1667;Частое
19;17;8;0,1667;Частое
19;11;8;0,1667;Частое
19;19;8;0,1667;Частое
19;5;7;0,1458;Частое
19;13;7;0,1458;Редкое
19;2;6;0,125;Редкое
19;9;6;0,125;Редкое
19;14;6;0,125;Редкое
19;20;6;0,125;Редкое
19;10;6;0,125;Редкое
19;16;5;0,1042;Редкое
19;6;5;0,1042;Редкое
19;8;3;0,0625;Редкое
19;1;3;0,0625;Редкое
20;4;13;0,2708;Частое
20;16;12;0,25;Частое
20;1;10;0,2083;Частое
20;7;10;0,2083;Частое
20;18;9;0,1875;Частое
20;3;8;0,1667;Частое
20;17;8;0,1667;Частое
20;11;8;0,1667;Частое
20;5;8;0,1667;Частое
20;9;7;0,1458;Частое
20;2;7;0,1458;Редкое
20;19;7;0,1458;Редкое
20;6;6;0,125;Редкое
20;13;6;0,125;Редкое
20;14;5;0,1042;Редкое
20;8;5;0,1042;Редкое
20;20;5;0,1042;Редкое
20;10;4;0,0833;Редкое
20;15;3;0,0625;Редкое
20;12;3;0,0625;Редкое
21;10;11;0,2292;Частое
21;17;11;0,2292;Частое
21;18;11;0,2292;Частое
21;8;11;0,2292;Частое
21;15;10;0,2083;Частое
21;4;9;0,1875;Частое
21;12;8;0,1667;Частое
21;13;8;0,1667;Частое
21;19;8;0,1667;Частое
21;16;7;0,1458;Частое
21;2;7;0,1458;Редкое
21;5;6;0,125;Редкое
21;9;6;0,125;Редкое
21;14;6;0,125;Редкое
21;7;6;0,125;Редкое
21;11;4;0,0833;Редкое
21;20;4;0,0833;Редкое
21;3;4;0,0833;Редкое
21;1;4;0,0833;Редкое
21;6;3;0,0625;Редкое
22;16;15;0,3125;Частое
22;8;14;0,2917;Частое
22;20;13;0,2708;Частое
22;5;10;0,2083;Частое
22;13;9;0,1875;Частое
22;17;8;0,1667;Частое
22;11;8;0,1667;Частое
22;10;7;0,1458;Частое
22;12;6;0,125;Частое
22;18;6;0,125;Частое
22;19;6;0,125;Редкое
22;2;6;0,125;Редкое
22;9;6;0,125;Редкое
22;15;5;0,1042;Редкое
22;1;5;0,1042;Редкое
22;3;5;0,1042;Редкое
22;4;4;0,0833;Редкое
22;14;4;0,0833;Редкое
22;7;4;0,0833;Редкое
22;6;3;0,0625;Редкое
23;14;12;0,25;Частое
23;16;12;0,25;Частое
23;4;11;0,2292;Частое
23;6;11;0,2292;Частое
23;15;10;0,2083;Частое
23;3;9;0,1875;Частое
23;20;8;0,1667;Частое
23;5;8;0,1667;Частое
23;11;7;0,1458;Частое
23;10;7;0,1458;Частое
23;17;6;0,125;Редкое
23;12;6;0,125;Редкое
23;9;5;0,1042;Редкое
23;13;5;0,1042;Редкое
23;1;5;0,1042;Редкое
23;2;5;0,1042;Редкое
23;8;5;0,1042;Редкое
23;19;5;0,1042;Редкое
23;18;4;0,0833;Редкое
23;7;3;0,0625;Редкое
24;1;10;0,2083;Частое
24;18;10;0,2083;Частое
24;9;10;0,2083;Частое
24;4;9;0,1875;Частое
24;2;9;0,1875;Частое
24;8;9;0,1875;Частое
24;16;8;0,1667;Частое
24;5;8;0,1667;Частое
24;12;8;0,1667;Частое
24;3;8;0,1667;Частое
24;10;7;0,1458;Редкое
24;13;7;0,1458;Редкое
24;17;6;0,125;Редкое
24;11;6;0,125;Редкое
24;19;6;0,125;Редкое
24;14;6;0,125;Редкое
24;15;5;0,1042;Редкое
24;6;5;0,1042;Редкое
24;7;4;0,0833;Редкое
24;20;3;0,0625;Редкое
25;15;16;0,3333;Частое
25;16;10;0,2083;Частое
25;20;10;0,2083;Частое
25;11;9;0,1875;Частое
25;9;9;0,1875;Частое
25;13;8;0,1667;Частое
25;1;7;0,1458;Частое
25;10;7;0,1458;Частое
25;5;7;0,1458;Частое
25;12;7;0,1458;Частое
25;7;7;0,1458;Редкое
25;2;6;0,125;Редкое
25;4;6;0,125;Редкое
25;14;6;0,125;Редкое
25;18;6;0,125;Редкое
25;8;5;0,1042;Редкое
25;6;5;0,1042;Редкое
25;19;5;0,1042;Редкое
25;17;4;0,0833;Редкое
25;3;4;0,0833;Редкое
26;11;11;0,2292;Частое
26;9;11;0,2292;Частое
26;20;11;0,2292;Частое
26;16;10;0,2083;Частое
26;18;10;0,2083;Частое
26;12;10;0,2083;Частое
26;1;7;0,1458;Частое
26;10;7;0,1458;Частое
26;19;7;0,1458;Частое
26;2;7;0,1458;Частое
26;8;7;0,1458;Редкое
26;13;6;0,125;Редкое
26;5;6;0,125;Редкое
26;17;6;0,125;Редкое
26;6;5;0,1042;Редкое
26;7;5;0,1042;Редкое
26;15;5;0,1042;Редкое
26;4;5;0,1042;Редкое
26;3;4;0,0833;Редкое
26;14;4;0,0833;Редкое
27;20;12;0,25;Частое
27;18;9;0,1875;Частое
27;15;9;0,1875;Частое
27;5;9;0,1875;Частое
27;2;9;0,1875;Частое
27;12;8;0,1667;Частое
27;17;8;0,1667;Частое
27;7;8;0,1667;Частое
27;11;7;0,1458;Частое
27;1;7;0,1458;Частое
27;16;7;0,1458;Редкое
27;19;7;0,1458;Редкое
27;6;6;0,125;Редкое
27;8;6;0,125;Редкое
27;10;6;0,125;Редкое
27;3;6;0,125;Редкое
27;4;6;0,125;Редкое
27;14;5;0,1042;Редкое
27;13;5;0,1042;Редкое
27;9;4;0,0833;Редкое
28;1;12;0,25;Частое
28;16;12;0,25;Частое
28;17;11;0,2292;Частое
28;10;10;0,2083;Частое
28;2;9;0,1875;Частое
28;15;9;0,1875;Частое
28;12;8;0,1667;Частое
28;18;8;0,1667;Частое
28;9;7;0,1458;Частое
28;7;7;0,1458;Частое
28;14;6;0,125;Редкое
28;13;6;0,125;Редкое
28;20;6;0,125;Редкое
28;19;6;0,125;Редкое
28;5;5;0,1042;Редкое
28;4;5;0,1042;Редкое
28;6;5;0,1042;Редкое
28;3;5;0,1042;Редкое
28;11;5;0,1042;Редкое
28;8;2;0,0417;Редкое
29;3;13;0,2708;Частое
29;5;13;0,2708;Частое
29;1;11;0,2292;Частое
29;15;8;0,1667;Частое
29;10;8;0,1667;Частое
29;17;8;0,1667;Частое
29;16;7;0,1458;Частое
29;18;7;0,1458;Частое
29;6;7;0,1458;Частое
