День месяца;День недели;№ Шара;Кол-во выпадений;Шанс (%);Тип
1;понедельник;18;4;0,0952;Частое
1;понедельник;7;3;0,0714;Частое
1;понедельник;19;3;0,0714;Частое
1;понедельник;4;3;0,0714;Частое
1;понедельник;5;3;0,0714;Частое
1;понедельник;16;3;0,0714;Частое
1;понедельник;13;3;0,0714;Частое
1;понедельник;2;3;0,0714;Частое
1;понедельник;1;2;0,0476;Частое
1;понедельник;8;2;0,0476;Частое
1;понедельник;1;2;0,0476;Редкое
1;понедельник;8;2;0,0476;Редкое
1;понедельник;17;2;0,0476;Редкое
1;понедельник;20;2;0,0476;Редкое
1;понедельник;9;2;0,0476;Редкое
1;понедельник;15;2;0,0476;Редкое
1;понедельник;14;2;0,0476;Редкое
1;понедельник;11;1;0,0238;Редкое
1;понедельник;6;1;0,0238;Редкое
1;понедельник;10;1;0,0238;Редкое
1;среда;8;2;0,1667;Частое
1;среда;1;2;0,1667;Частое
1;среда;3;1;0,0833;Частое
1;среда;9;1;0,0833;Частое
1;среда;7;1;0,0833;Частое
1;среда;10;1;0,0833;Частое
1;среда;4;1;0,0833;Частое
1;среда;6;1;0,0833;Частое
1;среда;11;1;0,0833;Частое
1;среда;18;1;0,0833;Частое
1;среда;8;2;0,1667;Редкое
1;среда;1;2;0,1667;Редкое
1;среда;3;1;0,0833;Редкое
1;среда;9;1;0,0833;Редкое
1;среда;7;1;0,0833;Редкое
1;среда;10;1;0,0833;Редкое
1;среда;4;1;0,0833;Редкое
1;среда;6;1;0,0833;Редкое
1;среда;11;1;0,0833;Редкое
1;среда;18;1;0,0833;Редкое
1;четверг;14;2;0,1667;Частое
1;четверг;9;2;0,1667;Частое
1;четверг;10;1;0,0833;Частое
1;четверг;17;1;0,0833;Частое
1;четверг;2;1;0,0833;Частое
1;четверг;5;1;0,0833;Частое
1;четверг;13;1;0,0833;Частое
1;четверг;12;1;0,0833;Частое
1;четверг;19;1;0,0833;Частое
1;четверг;18;1;0,0833;Частое
1;четверг;14;2;0,1667;Редкое
1;четверг;9;2;0,1667;Редкое
1;четверг;10;1;0,0833;Редкое
1;четверг;17;1;0,0833;Редкое
1;четверг;2;1;0,0833;Редкое
1;четверг;5;1;0,0833;Редкое
1;четверг;13;1;0,0833;Редкое
1;четверг;12;1;0,0833;Редкое
1;четверг;19;1;0,0833;Редкое
1;четверг;18;1;0,0833;Редкое
1;пятница;5;2;0,1667;Частое
1;пятница;9;2;0,1667;Частое
1;пятница;7;1;0,0833;Частое
1;пятница;13;1;0,0833;Частое
1;пятница;6;1;0,0833;Частое
1;пятница;12;1;0,0833;Частое
1;пятница;15;1;0,0833;Частое
1;пятница;19;1;0,0833;Частое
1;пятница;8;1;0,0833;Частое
1;пятница;20;1;0,0833;Частое
1;пятница;5;2;0,1667;Редкое
1;пятница;9;2;0,1667;Редкое
1;пятница;7;1;0,0833;Редкое
1;пятница;13;1;0,0833;Редкое
1;пятница;6;1;0,0833;Редкое
1;пятница;12;1;0,0833;Редкое
1;пятница;15;1;0,0833;Редкое
1;пятница;19;1;0,0833;Редкое
1;пятница;8;1;0,0833;Редкое
1;пятница;20;1;0,0833;Редкое
1;суббота;20;2;0,1667;Частое
1;суббота;14;2;0,1667;Частое
1;суббота;8;1;0,0833;Частое
1;суббота;16;1;0,0833;Частое
1;суббота;10;1;0,0833;Частое
1;суббота;15;1;0,0833;Частое
1;суббота;1;1;0,0833;Частое
1;суббота;2;1;0,0833;Частое
1;суббота;5;1;0,0833;Частое
1;суббота;7;1;0,0833;Частое
1;суббота;20;2;0,1667;Редкое
1;суббота;14;2;0,1667;Редкое
1;суббота;8;1;0,0833;Редкое
1;суббота;16;1;0,0833;Редкое
1;суббота;10;1;0,0833;Редкое
1;суббота;15;1;0,0833;Редкое
1;суббота;1;1;0,0833;Редкое
1;суббота;2;1;0,0833;Редкое
1;суббота;5;1;0,0833;Редкое
1;суббота;7;1;0,0833;Редкое
1;воскресенье;3;3;0,125;Частое
1;воскресенье;20;3;0,125;Частое
1;воскресенье;8;3;0,125;Частое
1;воскресенье;6;2;0,0833;Частое
1;воскресенье;7;2;0,0833;Частое
1;воскресенье;5;2;0,0833;Частое
1;воскресенье;12;2;0,0833;Частое
1;воскресенье;18;2;0,0833;Частое
1;воскресенье;2;1;0,0417;Частое
1;воскресенье;19;1;0,0417;Частое
1;воскресенье;6;2;0,0833;Редкое
1;воскресенье;7;2;0,0833;Редкое
1;воскресенье;5;2;0,0833;Редкое
1;воскресенье;12;2;0,0833;Редкое
1;воскресенье;18;2;0,0833;Редкое
1;воскресенье;2;1;0,0417;Редкое
1;воскресенье;19;1;0,0417;Редкое
1;воскресенье;16;1;0,0417;Редкое
1;воскресенье;11;1;0,0417;Редкое
1;воскресенье;9;1;0,0417;Редкое
2;понедельник;15;3;0,125;Частое
2;понедельник;5;3;0,125;Частое
2;понедельник;10;2;0,0833;Частое
2;понедельник;12;2;0,0833;Частое
2;понедельник;14;2;0,0833;Частое
2;понедельник;1;2;0,0833;Частое
2;понедельник;19;2;0,0833;Частое
2;понедельник;2;2;0,0833;Частое
2;понедельник;7;1;0,0417;Частое
2;понедельник;11;1;0,0417;Частое
2;понедельник;14;2;0,0833;Редкое
2;понедельник;1;2;0,0833;Редкое
2;понедельник;19;2;0,0833;Редкое
2;понедельник;2;2;0,0833;Редкое
2;понедельник;7;1;0,0417;Редкое
2;понедельник;11;1;0,0417;Редкое
2;понедельник;6;1;0,0417;Редкое
2;понедельник;8;1;0,0417;Редкое
2;понедельник;18;1;0,0417;Редкое
2;понедельник;20;1;0,0417;Редкое
2;вторник;17;6;0,1429;Частое
2;вторник;8;5;0,119;Частое
2;вторник;14;3;0,0714;Частое
2;вторник;19;3;0,0714;Частое
2;вторник;3;3;0,0714;Частое
2;вторник;18;3;0,0714;Частое
2;вторник;1;2;0,0476;Частое
2;вторник;2;2;0,0476;Частое
2;вторник;20;2;0,0476;Частое
2;вторник;6;2;0,0476;Частое
2;вторник;6;2;0,0476;Редкое
2;вторник;7;2;0,0476;Редкое
2;вторник;11;2;0,0476;Редкое
2;вторник;16;1;0,0238;Редкое
2;вторник;5;1;0,0238;Редкое
2;вторник;4;1;0,0238;Редкое
2;вторник;10;1;0,0238;Редкое
2;вторник;12;1;0,0238;Редкое
2;вторник;13;1;0,0238;Редкое
2;вторник;9;1;0,0238;Редкое
2;четверг;15;3;0,25;Частое
2;четверг;1;2;0,1667;Частое
2;четверг;5;1;0,0833;Частое
2;четверг;4;1;0,0833;Частое
2;четверг;17;1;0,0833;Частое
2;четверг;6;1;0,0833;Частое
2;четверг;20;1;0,0833;Частое
2;четверг;3;1;0,0833;Частое
2;четверг;10;1;0,0833;Частое
2;четверг;15;3;0,25;Редкое
2;четверг;1;2;0,1667;Редкое
2;четверг;5;1;0,0833;Редкое
2;четверг;4;1;0,0833;Редкое
2;четверг;17;1;0,0833;Редкое
2;четверг;6;1;0,0833;Редкое
2;четверг;20;1;0,0833;Редкое
2;четверг;3;1;0,0833;Редкое
2;четверг;10;1;0,0833;Редкое
2;пятница;7;2;0,1667;Частое
2;пятница;8;2;0,1667;Частое
2;пятница;1;2;0,1667;Частое
2;пятница;11;1;0,0833;Частое
2;пятница;2;1;0,0833;Частое
2;пятница;3;1;0,0833;Частое
2;пятница;13;1;0,0833;Частое
2;пятница;17;1;0,0833;Частое
2;пятница;20;1;0,0833;Частое
2;пятница;7;2;0,1667;Редкое
2;пятница;8;2;0,1667;Редкое
2;пятница;1;2;0,1667;Редкое
2;пятница;11;1;0,0833;Редкое
2;пятница;2;1;0,0833;Редкое
2;пятница;3;1;0,0833;Редкое
2;пятница;13;1;0,0833;Редкое
2;пятница;17;1;0,0833;Редкое
2;пятница;20;1;0,0833;Редкое
2;суббота;7;2;0,1667;Частое
2;суббота;8;2;0,1667;Частое
2;суббота;15;2;0,1667;Частое
2;суббота;3;1;0,0833;Частое
2;суббота;19;1;0,0833;Частое
2;суббота;9;1;0,0833;Частое
2;суббота;11;1;0,0833;Частое
2;суббота;10;1;0,0833;Частое
2;суббота;17;1;0,0833;Частое
2;суббота;7;2;0,1667;Редкое
2;суббота;8;2;0,1667;Редкое
2;суббота;15;2;0,1667;Редкое
2;суббота;3;1;0,0833;Редкое
2;суббота;19;1;0,0833;Редкое
2;суббота;9;1;0,0833;Редкое
2;суббота;11;1;0,0833;Редкое
2;суббота;10;1;0,0833;Редкое
2;суббота;17;1;0,0833;Редкое
2;воскресенье;12;3;0,25;Частое
2;воскресенье;5;1;0,0833;Частое
2;воскресенье;6;1;0,0833;Частое
2;воскресенье;11;1;0,0833;Частое
2;воскресенье;3;1;0,0833;Частое
2;воскресенье;4;1;0,0833;Частое
2;воскресенье;14;1;0,0833;Частое
2;воскресенье;15;1;0,0833;Частое
2;воскресенье;2;1;0,0833;Частое
2;воскресенье;7;1;0,0833;Частое
2;воскресенье;12;3;0,25;Редкое
2;воскресенье;5;1;0,0833;Редкое
2;воскресенье;6;1;0,0833;Редкое
2;воскресенье;11;1;0,0833;Редкое
2;воскресенье;3;1;0,0833;Редкое
2;воскресенье;4;1;0,0833;Редкое
2;воскресенье;14;1;0,0833;Редкое
2;воскресенье;15;1;0,0833;Редкое
2;воскресенье;2;1;0,0833;Редкое
2;воскресенье;7;1;0,0833;Редкое
3;понедельник;10;3;0,25;Частое
3;понедельник;8;1;0,0833;Частое
3;понедельник;12;1;0,0833;Частое
3;понедельник;13;1;0,0833;Частое
3;понедельник;11;1;0,0833;Частое
3;понедельник;15;1;0,0833;Частое
3;понедельник;5;1;0,0833;Частое
3;понедельник;7;1;0,0833;Частое
3;понедельник;2;1;0,0833;Частое
3;понедельник;14;1;0,0833;Частое
3;понедельник;10;3;0,25;Редкое
3;понедельник;8;1;0,0833;Редкое
3;понедельник;12;1;0,0833;Редкое
3;понедельник;13;1;0,0833;Редкое
3;понедельник;11;1;0,0833;Редкое
3;понедельник;15;1;0,0833;Редкое
3;понедельник;5;1;0,0833;Редкое
3;понедельник;7;1;0,0833;Редкое
3;понедельник;2;1;0,0833;Редкое
3;понедельник;14;1;0,0833;Редкое
3;вторник;3;3;0,125;Частое
3;вторник;4;2;0,0833;Частое
3;вторник;18;2;0,0833;Частое
3;вторник;5;2;0,0833;Частое
3;вторник;20;2;0,0833;Частое
3;вторник;2;2;0,0833;Частое
3;вторник;6;2;0,0833;Частое
3;вторник;8;2;0,0833;Частое
3;вторник;13;1;0,0417;Частое
3;вторник;11;1;0,0417;Частое
3;вторник;2;2;0,0833;Редкое
3;вторник;6;2;0,0833;Редкое
3;вторник;8;2;0,0833;Редкое
3;вторник;13;1;0,0417;Редкое
3;вторник;11;1;0,0417;Редкое
3;вторник;17;1;0,0417;Редкое
3;вторник;10;1;0,0417;Редкое
3;вторник;19;1;0,0417;Редкое
3;вторник;9;1;0,0417;Редкое
3;вторник;12;1;0,0417;Редкое
3;среда;12;4;0,0952;Частое
3;среда;4;4;0,0952;Частое
3;среда;15;4;0,0952;Частое
3;среда;17;4;0,0952;Частое
3;среда;1;3;0,0714;Частое
3;среда;11;3;0,0714;Частое
3;среда;3;2;0,0476;Частое
3;среда;16;2;0,0476;Частое
3;среда;14;2;0,0476;Частое
3;среда;7;2;0,0476;Частое
3;среда;14;2;0,0476;Редкое
3;среда;7;2;0,0476;Редкое
3;среда;9;2;0,0476;Редкое
3;среда;5;2;0,0476;Редкое
3;среда;19;2;0,0476;Редкое
3;среда;13;2;0,0476;Редкое
3;среда;20;1;0,0238;Редкое
3;среда;6;1;0,0238;Редкое
3;среда;8;1;0,0238;Редкое
3;среда;2;1;0,0238;Редкое
3;пятница;11;3;0,25;Частое
3;пятница;7;2;0,1667;Частое
3;пятница;12;2;0,1667;Частое
3;пятница;4;1;0,0833;Частое
3;пятница;3;1;0,0833;Частое
3;пятница;13;1;0,0833;Частое
3;пятница;14;1;0,0833;Частое
3;пятница;19;1;0,0833;Частое
3;пятница;11;3;0,25;Редкое
3;пятница;7;2;0,1667;Редкое
3;пятница;12;2;0,1667;Редкое
3;пятница;4;1;0,0833;Редкое
3;пятница;3;1;0,0833;Редкое
3;пятница;13;1;0,0833;Редкое
3;пятница;14;1;0,0833;Редкое
3;пятница;19;1;0,0833;Редкое
3;суббота;4;2;0,1667;Частое
3;суббота;1;1;0,0833;Частое
3;суббота;17;1;0,0833;Частое
3;суббота;9;1;0,0833;Частое
3;суббота;16;1;0,0833;Частое
3;суббота;19;1;0,0833;Частое
3;суббота;3;1;0,0833;Частое
3;суббота;7;1;0,0833;Частое
3;суббота;8;1;0,0833;Частое
3;суббота;2;1;0,0833;Частое
3;суббота;1;1;0,0833;Редкое
3;суббота;17;1;0,0833;Редкое
3;суббота;9;1;0,0833;Редкое
3;суббота;16;1;0,0833;Редкое
3;суббота;19;1;0,0833;Редкое
3;суббота;3;1;0,0833;Редкое
3;суббота;7;1;0,0833;Редкое
3;суббота;8;1;0,0833;Редкое
3;суббота;2;1;0,0833;Редкое
3;суббота;14;1;0,0833;Редкое
3;воскресенье;10;2;0,1667;Частое
3;воскресенье;15;2;0,1667;Частое
3;воскресенье;9;2;0,1667;Частое
3;воскресенье;16;1;0,0833;Частое
3;воскресенье;3;1;0,0833;Частое
3;воскресенье;17;1;0,0833;Частое
3;воскресенье;20;1;0,0833;Частое
3;воскресенье;4;1;0,0833;Частое
3;воскресенье;11;1;0,0833;Частое
3;воскресенье;10;2;0,1667;Редкое
3;воскресенье;15;2;0,1667;Редкое
3;воскресенье;9;2;0,1667;Редкое
3;воскресенье;16;1;0,0833;Редкое
3;воскресенье;3;1;0,0833;Редкое
3;воскресенье;17;1;0,0833;Редкое
3;воскресенье;20;1;0,0833;Редкое
3;воскресенье;4;1;0,0833;Редкое
3;воскресенье;11;1;0,0833;Редкое
4;понедельник;9;2;0,1667;Частое
4;понедельник;10;2;0,1667;Частое
4;понедельник;11;2;0,1667;Частое
4;понедельник;4;2;0,1667;Частое
4;понедельник;7;1;0,0833;Частое
4;понедельник;19;1;0,0833;Частое
4;понедельник;15;1;0,0833;Частое
4;понедельник;1;1;0,0833;Частое
4;понедельник;9;2;0,1667;Редкое
