Строка;Четные;Нечетные;Количество;Шанс
1;2;2;1;0,0167
1;1;2;3;0,05
1;2;1;1;0,0167
1;1;1;1;0,0167
1;3;1;2;0,0333
1;1;0;1;0,0167
1;0;1;1;0,0167
2;1;2;2;0,0333
2;2;1;3;0,05
2;2;3;1;0,0167
2;1;1;1;0,0167
2;2;2;1;0,0167
2;0;2;1;0,0167
2;3;2;1;0,0167
3;1;1;2;0,0333
3;2;1;2;0,0333
3;4;2;1;0,0167
3;0;1;1;0,0167
3;2;3;2;0,0333
3;2;0;1;0,0167
3;3;1;1;0,0167
4;0;2;2;0,0333
4;4;3;1;0,0167
4;0;3;1;0,0167
4;2;0;1;0,0167
4;2;2;1;0,0167
4;1;4;1;0,0167
4;1;1;1;0,0167
4;2;1;1;0,0167
4;3;3;1;0,0167
5;1;3;1;0,0167
5;3;2;2;0,0333
5;2;2;1;0,0167
5;0;3;1;0,0167
5;2;1;1;0,0167
5;1;1;2;0,0333
5;3;1;1;0,0167
5;1;2;1;0,0167
6;2;3;1;0,0167
6;0;0;1;0,0167
6;0;2;2;0,0333
6;2;2;1;0,0167
6;1;3;1;0,0167
6;2;1;1;0,0167
6;4;0;1;0,0167
6;3;3;1;0,0167
6;3;2;1;0,0167
