№ Квадрата;Четные;Нечетные;Количество;Числа квадрата;Шанс
1;0;1;190;1_2_11_12;0,0042
1;1;0;204;1_2_11_12;0,0045
1;0;0;185;1_2_11_12;0,0041
1;1;1;208;1_2_11_12;0,0046
1;2;1;55;1_2_11_12;0,0012
1;0;2;49;1_2_11_12;0,0011
1;2;0;49;1_2_11_12;0,0011
1;2;2;7;1_2_11_12;0,0002
1;1;2;53;1_2_11_12;0,0012
2;0;1;189;2_3_12_13;0,0042
2;1;0;211;2_3_12_13;0,0047
2;0;0;181;2_3_12_13;0,004
2;1;1;200;2_3_12_13;0,0044
2;2;1;56;2_3_12_13;0,0012
2;2;0;46;2_3_12_13;0,001
2;0;2;54;2_3_12_13;0,0012
2;1;2;54;2_3_12_13;0,0012
2;2;2;9;2_3_12_13;0,0002
3;1;1;212;3_4_13_14;0,0047
3;0;1;197;3_4_13_14;0,0044
3;1;0;196;3_4_13_14;0,0044
3;0;0;191;3_4_13_14;0,0042
3;2;0;51;3_4_13_14;0,0011
3;2;1;36;3_4_13_14;0,0008
3;0;2;56;3_4_13_14;0,0012
3;2;2;12;3_4_13_14;0,0003
3;1;2;49;3_4_13_14;0,0011
4;1;1;209;4_5_14_15;0,0046
4;0;0;192;4_5_14_15;0,0043
4;1;2;38;4_5_14_15;0,0008
4;0;2;53;4_5_14_15;0,0012
4;1;0;210;4_5_14_15;0,0047
4;0;1;199;4_5_14_15;0,0044
4;2;0;39;4_5_14_15;0,0009
4;2;1;50;4_5_14_15;0,0011
4;2;2;10;4_5_14_15;0,0002
5;1;1;191;5_6_15_16;0,0042
5;2;0;58;5_6_15_16;0,0013
5;1;2;37;5_6_15_16;0,0008
5;1;0;189;5_6_15_16;0,0042
5;0;0;194;5_6_15_16;0,0043
5;2;1;40;5_6_15_16;0,0009
5;0;1;227;5_6_15_16;0,005
5;2;2;13;5_6_15_16;0,0003
5;0;2;51;5_6_15_16;0,0011
6;1;1;194;6_7_16_17;0,0043
6;2;1;59;6_7_16_17;0,0013
6;1;0;172;6_7_16_17;0,0038
6;0;1;220;6_7_16_17;0,0049
6;0;2;43;6_7_16_17;0,001
6;2;0;44;6_7_16_17;0,001
6;0;0;209;6_7_16_17;0,0046
6;1;2;51;6_7_16_17;0,0011
6;2;2;8;6_7_16_17;0,0002
7;0;1;209;7_8_17_18;0,0046
7;1;1;217;7_8_17_18;0,0048
7;0;0;184;7_8_17_18;0,0041
7;2;0;43;7_8_17_18;0,001
7;1;2;38;7_8_17_18;0,0008
7;1;0;198;7_8_17_18;0,0044
7;2;2;7;7_8_17_18;0,0002
7;2;1;47;7_8_17_18;0,001
7;0;2;57;7_8_17_18;0,0013
8;0;0;201;8_9_18_19;0,0045
8;1;0;199;8_9_18_19;0,0044
8;1;1;216;8_9_18_19;0,0048
8;0;1;196;8_9_18_19;0,0044
8;2;1;36;8_9_18_19;0,0008
8;1;2;38;8_9_18_19;0,0008
8;2;0;52;8_9_18_19;0,0012
8;0;2;53;8_9_18_19;0,0012
8;2;2;9;8_9_18_19;0,0002
9;1;0;216;9_10_19_20;0,0048
9;0;0;187;9_10_19_20;0,0042
9;0;1;191;9_10_19_20;0,0042
9;2;1;54;9_10_19_20;0,0012
9;1;1;203;9_10_19_20;0,0045
9;0;2;56;9_10_19_20;0,0012
9;2;0;49;9_10_19_20;0,0011
9;2;2;4;9_10_19_20;0,0001
9;1;2;40;9_10_19_20;0,0009
10;0;1;214;11_12_21_22;0,0048
10;1;0;210;11_12_21_22;0,0047
10;1;1;185;11_12_21_22;0,0041
10;0;0;185;11_12_21_22;0,0041
10;2;0;48;11_12_21_22;0,0011
10;2;1;52;11_12_21_22;0,0012
10;1;2;49;11_12_21_22;0,0011
10;0;2;47;11_12_21_22;0,001
10;2;2;10;11_12_21_22;0,0002
11;0;1;215;12_13_22_23;0,0048
11;1;0;194;12_13_22_23;0,0043
11;1;1;210;12_13_22_23;0,0047
11;0;0;169;12_13_22_23;0,0038
11;0;2;62;12_13_22_23;0,0014
11;2;0;52;12_13_22_23;0,0012
11;2;1;49;12_13_22_23;0,0011
11;1;2;40;12_13_22_23;0,0009
11;2;2;9;12_13_22_23;0,0002
12;2;1;41;13_14_23_24;0,0009
12;0;1;216;13_14_23_24;0,0048
12;1;0;195;13_14_23_24;0,0043
12;1;1;217;13_14_23_24;0,0048
12;0;0;180;13_14_23_24;0,004
12;1;2;50;13_14_23_24;0,0011
12;0;2;48;13_14_23_24;0,0011
12;2;0;40;13_14_23_24;0,0009
12;2;2;13;13_14_23_24;0,0003
13;2;0;52;14_15_24_25;0,0012
13;0;0;199;14_15_24_25;0,0044
13;1;1;182;14_15_24_25;0,004
13;1;0;221;14_15_24_25;0,0049
13;0;1;194;14_15_24_25;0,0043
13;1;2;59;14_15_24_25;0,0013
13;0;2;51;14_15_24_25;0,0011
13;2;1;33;14_15_24_25;0,0007
13;2;2;9;14_15_24_25;0,0002
14;0;0;215;15_16_25_26;0,0048
14;1;0;203;15_16_25_26;0,0045
14;2;1;35;15_16_25_26;0,0008
14;1;1;177;15_16_25_26;0,0039
14;0;1;197;15_16_25_26;0,0044
14;1;2;44;15_16_25_26;0,001
14;2;0;54;15_16_25_26;0,0012
14;0;2;63;15_16_25_26;0,0014
14;2;2;12;15_16_25_26;0,0003
15;0;1;199;16_17_26_27;0,0044
15;1;0;192;16_17_26_27;0,0043
15;2;1;38;16_17_26_27;0,0008
15;1;1;190;16_17_26_27;0,0042
15;0;0;212;16_17_26_27;0,0047
15;1;2;42;16_17_26_27;0,0009
15;0;2;64;16_17_26_27;0,0014
