Треугольные числа;Квадратные числа;Зеркальные числа;Частота;Шанс %
0;0;0;340;0,136
0;0;1;622;0,2488
0;1;0;1973;0,7892
0;1;1;2690;1,076
0;2;0;2753;1,1012
0;2;1;2867;1,1468
0;3;0;927;0,3708
0;3;1;656;0,2624
1;0;0;2630;1,052
1;0;1;3763;1,5052
1;1;0;11662;4,6648
1;1;1;11820;4,728
1;2;0;13471;5,3884
1;2;1;10601;4,2404
1;3;0;5384;2,1536
1;3;1;3424;1,3696
1;4;0;673;0,2692
1;4;1;334;0,1336
2;0;0;5451;2,1804
2;0;1;5530;2,212
2;1;0;20310;8,124
2;1;1;15584;6,2336
2;2;0;22678;9,0712
2;2;1;13767;5,5068
2;3;0;9942;3,9768
2;3;1;4507;1,8028
2;4;0;1389;0,5556
2;4;1;444;0,1776
3;0;0;3719;1,4876
3;0;1;2602;1,0408
3;1;0;13387;5,3548
3;1;1;7844;3,1376
3;2;0;15571;6,2284
3;2;1;7211;2,8844
3;3;0;6384;2,5536
3;3;1;2040;0,816
3;4;0;682;0,2728
3;4;1;129;0,0516
4;0;0;671;0,2684
4;0;1;310;0,124
4;1;0;3580;1,432
4;1;1;1600;0,64
4;2;0;4197;1,6788
4;2;1;1323;0,5292
4;3;0;1336;0,5344
4;3;1;247;0,0988
4;4;0;86;0,0344
4;4;1;6;0,0024
5;1;0;349;0,1396
5;1;1;99;0,0396
5;2;0;307;0,1228
5;2;1;65;0,026
5;3;0;53;0,0212
5;3;1;8;0,0032
5;4;0;2;0,0008
