Число;П1;П2;П3;П4;П5;П6;П7;П8;П9;П10;П11;П12;П13;П14;П15;П16;П17;П18;П19;П20
1;1940;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;1294;625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;886;850;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;562;902;402;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;381;772;562;159;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;271;635;674;291;58;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;164;558;675;428;150;30;1;0;0;0;0;0;0;0;0;0;0;0;0;0
8;96;410;613;515;209;55;6;0;0;0;0;0;0;0;0;0;0;0;0;0
9;66;312;578;514;351;101;23;2;0;0;0;0;0;0;0;0;0;0;0;0
10;49;210;464;577;368;173;47;5;0;0;0;0;0;0;0;0;0;0;0;0
11;19;167;371;589;469;239;79;13;1;0;0;0;0;0;0;0;0;0;0;0
12;16;113;360;486;518;300;114;36;7;0;0;0;0;0;0;0;0;0;0;0
13;12;66;229;456;482;395;187;56;13;3;0;0;0;0;0;0;0;0;0;0
14;6;59;178;383;493;453;236;103;22;6;1;0;0;0;0;0;0;0;0;0
15;2;36;130;314;462;446;326;139;47;6;3;0;0;0;0;0;0;0;0;0
16;1;16;109;254;398;498;364;187;66;15;2;0;0;0;0;0;0;0;0;0
17;1;20;83;198;379;446;446;241;103;31;7;2;0;0;0;0;0;0;0;0
18;1;8;59;142;350;439;428;322;145;55;15;0;2;0;0;0;0;0;0;0
19;1;2;31;122;257;366;429;346;207;85;26;5;0;1;0;0;0;0;0;0
20;0;3;22;96;204;393;434;404;261;122;29;7;1;0;0;0;0;0;0;0
21;0;3;9;57;160;309;424;416;297;139;65;18;1;0;0;0;0;0;0;0
22;0;0;6;37;134;238;366;437;351;190;80;24;5;0;0;0;0;0;0;0
23;0;0;5;25;90;229;373;387;406;233;130;39;10;3;0;0;0;0;0;0
24;0;1;4;21;54;159;320;417;361;292;149;63;17;2;3;0;0;0;0;0
25;0;0;1;11;49;131;267;407;401;327;199;93;17;5;1;1;0;0;0;0
26;0;0;2;8;38;115;205;341;432;352;224;108;50;5;3;1;0;0;0;0
27;0;0;0;5;30;67;184;324;420;436;278;148;57;13;2;2;1;0;0;0
28;0;0;0;4;16;63;138;288;398;414;317;185;71;28;2;1;0;0;0;0
29;0;0;0;4;8;39;104;220;330;408;363;250;104;31;11;1;0;0;0;0
30;0;0;1;2;8;36;92;171;315;400;388;283;144;66;21;1;1;1;0;0
31;0;0;0;0;4;13;60;153;271;362;438;301;176;82;29;6;0;0;1;0
32;0;0;0;0;4;6;35;93;235;356;390;351;227;103;25;11;3;0;0;0
33;0;0;0;1;2;14;22;81;191;305;414;385;274;127;56;10;2;1;0;0
34;0;0;1;0;2;2;23;61;140;306;375;419;315;172;76;18;7;1;0;0
35;0;0;0;1;0;3;14;43;111;248;361;382;356;214;78;39;6;1;1;0
36;0;0;0;0;2;3;7;22;76;201;328;433;360;257;139;33;11;3;0;0
37;0;0;0;0;0;2;9;20;46;139;274;377;421;324;169;67;14;2;0;0
38;0;0;0;0;0;1;1;20;47;104;241;356;448;361;212;100;29;7;0;0
39;0;0;0;0;0;0;2;4;33;88;207;350;419;394;233;127;37;7;4;1
40;0;0;0;0;0;0;1;4;15;50;147;319;419;441;332;171;49;11;1;0
41;0;0;0;0;0;0;1;2;5;42;100;234;418;423;358;182;94;18;4;0
42;0;0;0;0;0;0;0;1;9;22;77;196;331;434;377;246;111;40;2;2
43;0;0;0;0;0;0;0;2;2;12;75;131;293;420;457;292;147;42;7;0
44;0;0;0;0;0;0;0;0;3;10;30;137;270;421;488;340;211;75;20;5
45;0;0;0;0;0;0;0;0;0;7;16;75;176;367;445;425;251;94;26;2
46;0;0;0;0;0;0;0;0;1;1;11;42;160;320;470;440;311;130;32;4
47;0;0;0;0;0;0;0;0;0;1;6;30;95;240;430;533;347;188;41;3
48;0;0;0;0;0;0;0;0;0;0;1;17;68;216;385;529;459;255;78;6
49;0;0;0;0;0;0;0;0;0;0;1;6;42;129;332;497;472;296;99;13
50;0;0;0;0;0;0;0;0;0;0;0;2;15;93;261;486;538;347;153;21
51;0;0;0;0;0;0;0;0;0;0;0;0;6;41;181;403;574;503;209;44
52;0;0;0;0;0;0;0;0;0;0;0;0;0;32;101;351;553;556;310;58
53;0;0;0;0;0;0;0;0;0;0;0;0;0;2;59;220;532;595;423;92
54;0;0;0;0;0;0;0;0;0;0;0;0;0;1;28;150;469;714;510;179
55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;71;290;705;628;240
56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;188;572;817;364
57;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;411;906;608
58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;193;866;898
59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;630;1329
60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1899
