Тираж;Дата;1_2;2_3;3_4;4_5;5_6;6_7;7_8;8_9;9_10;10_11;11_12;12_13;13_14;14_15;15_16;16_17;17_18;18_19;19_20
1;24.01.2010;39;5;13;29;10;14;15;19;18;36;53;2;57;32;25;7;22;20;45
2;25.01.2010;5;31;7;12;2;7;5;4;19;20;3;4;1;17;15;15;39;6;5
3;26.01.2010;5;18;24;17;2;33;26;14;10;43;34;41;10;7;27;31;25;13;1
4;27.01.2010;9;10;6;21;28;33;7;23;12;5;14;51;21;4;19;9;1;20;27
5;28.01.2010;11;17;43;2;11;12;17;5;8;23;1;41;12;37;28;24;5;16;29
6;29.01.2010;45;10;8;9;10;2;17;28;13;19;57;46;36;2;3;24;18;8;30
7;30.01.2010;8;43;19;4;1;4;34;37;6;1;18;16;28;23;15;48;11;32;41
8;31.01.2010;22;24;18;19;23;7;5;19;30;8;9;12;46;15;4;4;30;11;25
9;01.02.2010;15;16;15;9;17;41;30;12;7;9;8;12;25;20;41;1;39;4;37
10;02.02.2010;24;40;41;2;6;34;15;16;25;36;17;34;6;41;31;28;19;6;6
