Тираж;Дата;№П 1;№П 2;№П 3;№П 4;№П 5;№П 6;№П 7;№П 8;№П 9;№П 10;№П 11;№П 12;№П 13;№П 14;№П 15;№П 16;№П 17;№П 18;№П 19;№П 20
5768;08.11.2025;Н;Ч;Н;Н;Н;Н;Ч;Н;Ч;Н;Н;Ч;Ч;Ч;Н;Ч;Ч;Ч;Ч;Ч
5767;07.11.2025;Н;Н;Н;Н;Ч;Н;Ч;Ч;Ч;Н;Н;Ч;Н;Н;Н;Н;Н;Н;Н;Ч
5766;06.11.2025;Н;Н;Ч;Н;Ч;Ч;Н;Н;Ч;Ч;Ч;Н;Н;Ч;Ч;Ч;Н;Н;Н;Н
5765;05.11.2025;Ч;Н;Ч;Н;Н;Ч;Н;Ч;Н;Ч;Н;Н;Н;Ч;Ч;Ч;Ч;Н;Н;Ч
5764;04.11.2025;Ч;Н;Н;Н;Н;Н;Н;Н;Н;Н;Ч;Ч;Ч;Ч;Ч;Н;Н;Ч;Ч;Н
5763;03.11.2025;Н;Ч;Ч;Ч;Н;Ч;Н;Ч;Ч;Н;Ч;Н;Ч;Н;Ч;Н;Н;Н;Ч;Ч
5762;02.11.2025;Ч;Н;Н;Н;Ч;Н;Ч;Н;Н;Н;Н;Н;Ч;Н;Ч;Ч;Ч;Н;Ч;Ч
5761;01.11.2025;Ч;Ч;Н;Ч;Н;Ч;Ч;Ч;Н;Н;Ч;Ч;Ч;Н;Ч;Ч;Ч;Н;Ч;Ч
5760;31.10.2025;Н;Ч;Ч;Н;Ч;Ч;Н;Н;Н;Ч;Ч;Н;Н;Н;Н;Н;Н;Ч;Н;Ч
5759;30.10.2025;Н;Н;Н;Н;Н;Н;Ч;Н;Ч;Н;Ч;Ч;Ч;Н;Н;Н;Н;Н;Н;Н
