№ Тиража;Дата;№1;№2;№3;№4;№5;№6;№7;№8;№9;№10
5768;08.11.2025;*;*;3;*;5;6;*;*;*;*
;;*;12;*;*;*;16;*;*;*;*
;;21;*;23;24;*;*;*;28;*;*
;;*;*;*;*;35;*;*;38;*;*
;;41;*;*;44;*;*;47;48;49;50
;;*;*;*;54;*;*;*;*;59;60
;;;;;;;;;;;
5767;07.11.2025;1;*;3;*;5;*;7;*;9;*
;;*;*;*;*;*;16;17;*;*;*
;;21;22;*;*;*;*;27;*;*;30
;;31;*;33;34;*;*;*;*;*;*
;;41;*;*;*;45;*;47;*;*;*
;;*;52;53;*;*;56;*;*;*;*
;;;;;;;;;;;
5766;06.11.2025;*;*;*;4;5;6;7;*;*;*
;;11;*;*;*;*;16;*;*;19;*
;;21;*;23;*;*;*;*;28;*;*
;;*;32;33;*;35;*;37;38;*;*
;;*;*;*;44;45;*;*;*;*;50
;;*;*;*;54;*;*;57;*;*;*
;;;;;;;;;;;
5765;05.11.2025;*;2;*;*;5;*;*;*;*;*
;;*;*;*;14;*;16;*;18;19;*
;;*;*;*;*;25;*;27;*;*;30
;;31;32;33;*;*;*;*;*;39;*
;;41;*;*;*;*;46;*;*;49;50
;;*;*;53;*;*;56;*;58;*;*
;;;;;;;;;;;
5764;04.11.2025;*;*;*;4;*;6;7;*;*;*
;;*;12;13;14;15;*;*;18;*;*
;;21;*;*;*;*;*;27;*;29;*
;;*;32;33;*;*;*;37;*;*;*
;;*;*;43;*;*;*;47;*;49;*
;;51;*;*;54;*;*;*;58;*;*
;;;;;;;;;;;
5763;03.11.2025;1;*;*;4;*;6;7;8;*;*
;;*;*;*;*;*;*;*;18;*;20
;;*;*;*;*;*;*;27;*;*;30
;;31;*;*;*;35;36;*;*;*;*
;;41;42;*;*;*;46;*;*;49;50
;;*;52;*;*;55;*;57;*;*;*
;;;;;;;;;;;
5762;02.11.2025;*;*;*;*;*;*;7;*;*;*
;;*;12;*;*;15;16;17;*;*;20
;;*;22;*;*;25;26;27;*;*;*
;;*;*;33;*;*;*;37;*;*;*
;;41;*;*;*;45;46;47;*;*;*
;;51;52;*;54;*;56;*;*;*;*
;;;;;;;;;;;
5761;01.11.2025;*;2;*;*;5;6;*;*;*;10
;;*;12;*;*;*;*;*;*;*;20
;;*;22;*;24;*;*;*;28;29;*
;;*;32;*;*;*;*;37;*;*;40
;;*;42;43;*;*;*;*;48;*;*
;;51;52;*;*;*;*;*;58;59;*
;;;;;;;;;;;
5760;31.10.2025;*;2;3;*;5;*;*;8;9;*
;;11;*;*;*;15;*;*;*;*;*
;;21;*;*;*;*;26;*;*;*;*
;;*;*;33;*;*;36;*;*;39;*
;;*;42;*;44;*;46;*;48;*;*
;;*;*;53;*;55;*;57;*;59;*
;;;;;;;;;;;
5759;30.10.2025;1;*;*;*;*;6;*;*;*;*
;;11;*;13;*;*;*;*;18;19;*
;;21;*;23;*;25;*;*;*;29;*
;;31;*;33;*;*;*;*;*;*;*
;;*;42;*;*;45;46;47;48;*;*
;;*;*;53;*;*;*;57;*;59;*
;;;;;;;;;;;
