draw;date;№1;№2;№3;№4;№5;№6;№7;№8;№9;№10
1;24.01.2010;;;;;;;;;;
;;*;*;1;*;1;1;*;*;*;1
;;1;*;*;1;*;*;1;*;*;*
;;*;*;1;1;*;*;*;*;*;*
;;*;*;*;*;1;*;*;*;1;*
;;1;1;1;*;1;*;*;*;*;*
;;*;*;1;*;*;*;1;1;1;1
;;;;;;;;;;;
2;25.01.2010;;;;;;;;;;
;;1;*;1;*;1;2;1;*;*;1
;;1;*;1;1;*;1;1;1;*;*
;;1;*;1;1;*;*;*;*;*;1
;;1;1;1;1;1;*;*;1;2;1
;;2;2;1;1;1;1;*;*;1;*
;;*;*;1;*;*;*;1;1;1;1
;;;;;;;;;;;
3;26.01.2010;;;;;;;;;;
;;1;*;1;1;2;2;1;1;*;1
;;1;1;1;1;1;2;2;1;1;*
;;1;*;1;2;*;1;*;*;1;1
;;2;1;1;1;2;*;1;1;2;1
;;2;3;2;1;2;2;*;*;1;*
;;*;*;1;*;1;*;2;1;1;1
;;;;;;;;;;;
4;27.01.2010;;;;;;;;;;
;;1;*;1;1;3;2;1;2;*;1
;;1;1;1;1;2;3;3;1;1;*
;;2;1;2;3;*;2;*;1;1;1
;;2;1;1;2;2;*;1;2;2;1
;;3;3;3;1;2;2;1;*;1;*
;;1;*;1;1;1;*;2;1;2;2
;;;;;;;;;;;
5;28.01.2010;;;;;;;;;;
;;1;*;2;2;3;3;1;2;*;2
;;1;1;1;1;2;3;3;1;2;1
;;2;1;2;4;*;3;1;1;1;1
;;2;1;1;3;3;*;1;3;3;1
;;3;3;3;2;3;2;1;1;1;*
;;1;*;2;1;2;1;3;1;2;2
;;;;;;;;;;;
6;29.01.2010;;;;;;;;;;
;;2;*;2;3;3;3;2;2;*;2
;;1;2;1;1;2;3;3;1;3;2
;;2;1;2;4;*;3;1;1;2;1
;;3;1;1;3;4;*;2;3;4;2
;;3;3;4;2;3;3;1;2;2;1
;;1;1;2;1;2;1;3;2;3;2
;;;;;;;;;;;
7;30.01.2010;;;;;;;;;;
;;3;*;2;3;3;3;2;3;1;2
;;1;2;2;1;3;4;3;2;3;2
;;3;1;3;5;*;3;1;2;3;1
;;3;1;2;4;4;*;2;3;4;2
;;3;3;4;2;4;4;1;2;2;1
;;1;2;2;2;2;2;3;3;3;2
;;;;;;;;;;;
8;31.01.2010;;;;;;;;;;
;;3;1;2;3;3;3;3;4;1;3
;;1;2;2;1;3;4;4;2;4;2
;;4;1;4;5;1;4;1;2;3;2
;;3;2;2;4;4;1;3;3;4;2
;;3;4;4;3;5;4;1;3;2;1
;;1;2;3;2;3;2;3;3;3;2
Сброс;матрицы;;;;;;;;;;
;;;;;;;;;;;
9;01.02.2010;;;;;;;;;;
;;*;*;*;*;*;1;*;*;*;*
;;*;*;*;*;1;1;*;*;*;1
;;*;*;*;1;*;*;*;*;*;1
;;1;*;*;*;1;1;*;1;1;1
;;*;*;*;*;*;*;1;1;*;*
;;*;*;1;1;1;1;1;*;*;1
;;;;;;;;;;;
10;02.02.2010;;;;;;;;;;
;;*;*;1;*;*;1;*;*;*;*
;;*;1;*;1;2;1;*;*;1;2
;;*;1;*;1;*;*;*;1;1;2
;;1;*;*;*;2;1;*;1;2;1
;;1;*;*;*;*;*;1;1;1;1
;;*;1;2;2;2;1;1;*;*;2
;;;;;;;;;;;
