№1;№2;№3;№4;№5;№6;№7;№8;№9;№10;№11;№12;№13;№14;№15;№16;№17;№18;№19;№20
1;4;6;11;15;15;22;19;28;24;31;34;41;45;47;48;53;54;58;60
2;5;7;9;12;13;21;27;27;30;33;37;37;40;44;50;50;56;56;59
3;3;10;10;11;16;17;22;22;28;29;36;39;42;45;49;51;55;57;58
4;2;9;14;14;14;23;20;24;29;35;30;35;37;46;46;52;52;59;57
5;6;8;12;17;20;18;24;25;27;32;38;36;44;43;45;48;57;55;56
6;7;4;13;13;19;19;25;23;31;30;32;40;39;40;47;49;53;54;54
7;8;11;7;10;11;20;21;19;33;28;39;31;41;41;51;54;51;53;55
8;9;5;8;9;18;16;23;30;32;27;33;34;36;42;52;47;50;52;53
9;10;12;15;19;17;15;18;31;25;34;35;42;38;48;43;55;47;50;46
10;11;14;16;16;21;13;28;26;23;37;40;38;47;49;40;46;49;48;52
11;12;3;6;18;12;24;30;20;26;26;29;33;43;37;53;44;46;49;
13;14;13;17;8;22;25;26;21;36;36;31;32;35;38;44;45;58;47;
12;13;15;4;21;9;26;16;29;35;25;28;43;46;39;42;56;48;51;
14;15;16;19;7;10;14;17;35;22;40;44;46;48;50;41;43;43;41;
16;16;17;5;20;23;28;31;33;39;38;27;29;33;51;39;40;44;45;
17;17;19;22;23;24;12;29;32;34;39;41;44;34;36;54;39;45;46;
;18;21;20;6;26;27;15;34;20;43;42;45;32;52;35;41;42;;
;20;22;21;22;30;11;32;36;21;23;25;48;49;35;37;57;39;;
;;;18;24;25;29;14;16;37;41;43;30;50;34;38;42;40;;
;;;24;25;8;30;35;17;18;20;45;47;51;33;55;34;41;;
;;;30;26;27;10;12;14;38;22;24;24;30;53;36;36;;;
;;;;27;28;31;13;15;17;24;26;27;31;31;34;38;;;
;;;;5;6;32;34;18;19;21;22;28;52;32;32;;;;
;;;;34;7;33;33;37;40;42;21;26;29;28;56;;;;
;;;;29;29;34;36;12;16;44;23;18;25;29;31;;;;
;;;;30;31;37;38;13;41;46;46;23;26;54;;;;;
;;;;32;33;8;;38;43;19;47;51;27;;;;;;
;;;;36;36;9;;39;44;47;49;;28;;;;;;
;;;;;;;;41;46;;;;;;;;;;
;;;;;;;;43;;;;;;;;;;;
;;;;;;;;44;;;;;;;;;;;
