Начальный тираж;Начальная позиция;Конечный тираж;Конечная позиция;Числа
1;3;1;3;3,3,3,3
1;5;1;5;5,5,5,5
1;6;1;6;6,6,6,6
1;10;1;10;10,10,10,10
1;11;1;11;11,11,11,11
1;14;1;14;14,14,14,14
1;17;1;17;17,17,17,17
1;23;1;23;23,23,23,23
1;24;1;24;24,24,24,24
1;35;1;35;35,35,35,35
1;39;1;39;39,39,39,39
1;41;1;41;41,41,41,41
1;42;1;42;42,42,42,42
1;43;1;43;43,43,43,43
1;45;1;45;45,45,45,45
1;53;1;53;53,53,53,53
1;57;1;57;57,57,57,57
1;58;1;58;58,58,58,58
1;59;1;59;59,59,59,59
2;1;2;1;1,1,1,1
2;6;2;6;6,6,6,6
2;7;2;7;7,7,7,7
2;13;2;13;13,13,13,13
2;16;2;16;16,16,16,16
2;18;2;18;18,18,18,18
2;21;2;21;21,21,21,21
2;30;2;30;30,30,30,30
2;31;2;31;31,31,31,31
2;32;2;32;32,32,32,32
2;33;2;33;33,33,33,33
2;34;2;34;34,34,34,34
2;38;2;38;38,38,38,38
2;39;2;39;39,39,39,39
2;40;2;40;40,40,40,40
2;41;2;41;41,41,41,41
2;42;2;42;42,42,42,42
2;44;2;44;44,44,44,44
2;46;2;46;46,46,46,46
2;49;2;49;49,49,49,49
3;4;3;4;4,4,4,4
3;5;3;5;5,5,5,5
3;8;3;8;8,8,8,8
3;12;3;12;12,12,12,12
3;15;3;15;15,15,15,15
3;16;3;16;16,16,16,16
3;17;3;17;17,17,17,17
3;19;3;19;19,19,19,19
3;24;3;24;24,24,24,24
3;26;3;26;26,26,26,26
3;29;3;29;29,29,29,29
3;31;3;31;31,31,31,31
3;35;3;35;35,35,35,35
3;37;3;37;37,37,37,37
3;42;3;42;42,42,42,42
3;43;3;43;43,43,43,43
3;45;3;45;45,45,45,45
3;46;3;46;46,46,46,46
3;55;3;55;55,55,55,55
3;57;3;57;57,57,57,57
4;5;4;5;5,5,5,5
4;8;4;8;8,8,8,8
4;15;4;15;15,15,15,15
4;16;4;16;16,16,16,16
4;17;4;17;17,17,17,17
4;21;4;21;21,21,21,21
4;22;4;22;22,22,22,22
4;23;4;23;23,23,23,23
4;24;4;24;24,24,24,24
4;26;4;26;26,26,26,26
4;28;4;28;28,28,28,28
4;34;4;34;34,34,34,34
4;38;4;38;38,38,38,38
4;41;4;41;41,41,41,41
4;43;4;43;43,43,43,43
4;47;4;47;47,47,47,47
4;51;4;51;51,51,51,51
4;54;4;54;54,54,54,54
4;59;4;59;59,59,59,59
5;3;5;3;3,3,3,3
5;4;5;4;4,4,4,4
5;6;5;6;6,6,6,6
5;10;5;10;10,10,10,10
5;19;5;19;19,19,19,19
5;20;5;20;20,20,20,20
5;24;5;24;24,24,24,24
5;26;5;26;26,26,26,26
5;27;5;27;27,27,27,27
5;34;5;34;34,34,34,34
5;35;5;35;35,35,35,35
5;38;5;38;38,38,38,38
5;39;5;39;39,39,39,39
5;44;5;44;44,44,44,44
5;45;5;45;45,45,45,45
5;48;5;48;48,48,48,48
5;53;5;53;53,53,53,53
5;55;5;55;55,55,55,55
5;56;5;56;56,56,56,56
5;57;5;57;57,57,57,57
6;1;6;1;1,1,1,1
6;4;6;4;4,4,4,4
